Timestamp;Iteration;f;ADCval
1721385576.4633453;1;10.0;382
1721385576.4633453;2;10.0;358
1721385576.4633453;3;10.0;327
1721385576.4633453;4;10.0;307
1721385576.4633453;5;10.0;300
1721385576.4633453;6;10.0;308
1721385576.4633453;7;10.0;329
1721385576.4633453;8;10.0;363
1721385576.4633453;9;10.0;407
1721385576.4633453;10;10.0;454
1721385576.4633453;11;10.0;508
1721385576.4633453;12;10.0;564
1721385576.4633453;13;10.0;625
1721385576.4633453;14;10.0;656
1721385576.4633453;15;10.0;688
1721385576.4633453;16;10.0;710
1721385576.4633453;17;10.0;718
1721385576.4633453;18;10.0;713
1721385576.4633453;19;10.0;694
1721385576.4633453;20;10.0;664
1721385576.4633453;21;10.0;623
1721385576.4633453;22;10.0;570
1721385576.4633453;23;10.0;520
1721385576.4633453;24;10.0;469
1721385576.4633453;25;10.0;416
1721385576.4633453;26;10.0;371
1721385576.4633453;27;10.0;336
1721385576.4633453;28;10.0;312
1721385576.4633453;29;10.0;301
1721385576.4633453;30;10.0;303
1721385576.4633453;31;10.0;319
1721385576.4633453;32;10.0;359
1721385576.4633453;33;10.0;388
1721385576.4633453;34;10.0;434
1721385576.4633453;35;10.0;483
1721385576.4633453;36;10.0;557
1721385576.4633453;37;10.0;588
1721385576.4633453;38;10.0;636
1721385576.4633453;39;10.0;675
1721385576.4633453;40;10.0;704
1721385576.4633453;41;10.0;716
1721385576.4633453;42;10.0;718
1721385576.4633453;43;10.0;704
1721385576.4633453;44;10.0;679
1721385576.4633453;45;10.0;640
1721385576.4633453;46;10.0;593
1721385576.4633453;47;10.0;547
1721385576.4633453;48;10.0;488
1721385576.4633453;49;10.0;440
1721385576.4633453;50;10.0;389
1721385576.4633453;51;10.0;350
1721385576.4633453;52;10.0;322
1721385576.4633453;53;10.0;304
1721385576.4633453;54;10.0;300
1721385576.4633453;55;10.0;310
1721385576.4633453;56;10.0;333
1721385576.4633453;57;10.0;366
1721385576.4633453;58;10.0;412
1721385576.4633453;59;10.0;460
1721385576.4633453;60;10.0;518
1721385576.4633453;61;10.0;568
1721385576.4633453;62;10.0;615
1721385576.4633453;63;10.0;666
1721385576.4633453;64;10.0;691
1721385576.4633453;65;10.0;712
1721385576.4633453;66;10.0;718
1721385576.4633453;67;10.0;712
1721385576.4633453;68;10.0;691
1721385576.4633453;69;10.0;659
1721385576.4633453;70;10.0;617
1721385576.4633453;71;10.0;565
1721385576.4633453;72;10.0;512
1721385576.4633453;73;10.0;458
1721385576.4633453;74;10.0;411
1721385576.4633453;75;10.0;367
1721385576.4633453;76;10.0;333
