Timestamp;Iteration;f;ADCval
1721385806.6510942;1;10.0;208
1721385806.6510942;2;10.0;195
1721385806.6510942;3;10.0;169
1721385806.6510942;4;10.0;164
1721385806.6510942;5;10.0;197
1721385806.6510942;6;10.0;209
1721385806.6510942;7;10.0;196
1721385806.6510942;8;10.0;167
1721385806.6510942;9;10.0;165
1721385806.6510942;10;10.0;191
1721385806.6510942;11;10.0;208
1721385806.6510942;12;10.0;189
1721385806.6510942;13;10.0;163
1721385806.6510942;14;10.0;170
1721385806.6510942;15;10.0;197
1721385806.6510942;16;10.0;206
1721385806.6510942;17;10.0;189
1721385806.6510942;18;10.0;164
1721385806.6510942;19;10.0;173
1721385806.6510942;20;10.0;209
1721385806.6510942;21;10.0;207
1721385806.6510942;22;10.0;184
1721385806.6510942;23;10.0;162
1721385806.6510942;24;10.0;173
1721385806.6510942;25;10.0;201
1721385806.6510942;26;10.0;207
1721385806.6510942;27;10.0;183
1721385806.6510942;28;10.0;161
1721385806.6510942;29;10.0;176
1721385806.6510942;30;10.0;203
1721385806.6510942;31;10.0;201
1721385806.6510942;32;10.0;161
1721385806.6510942;33;10.0;183
1721385806.6510942;34;10.0;206
1721385806.6510942;35;10.0;201
1721385806.6510942;36;10.0;174
1721385806.6510942;37;10.0;162
1721385806.6510942;38;10.0;200
1721385806.6510942;39;10.0;207
1721385806.6510942;40;10.0;197
1721385806.6510942;41;10.0;170
1721385806.6510942;42;10.0;165
1721385806.6510942;43;10.0;186
1721385806.6510942;44;10.0;207
1721385806.6510942;45;10.0;192
1721385806.6510942;46;10.0;160
1721385806.6510942;47;10.0;189
1721385806.6510942;48;10.0;208
1721385806.6510942;49;10.0;193
1721385806.6510942;50;10.0;165
1721385806.6510942;51;10.0;164
1721385806.6510942;52;10.0;195
1721385806.6510942;53;10.0;209
1721385806.6510942;54;10.0;190
1721385806.6510942;55;10.0;164
1721385806.6510942;56;10.0;167
1721385806.6510942;57;10.0;195
1721385806.6510942;58;10.0;207
1721385806.6510942;59;10.0;186
1721385806.6510942;60;10.0;159
1721385806.6510942;61;10.0;170
1721385806.6510942;62;10.0;199
1721385806.6510942;63;10.0;206
1721385806.6510942;64;10.0;173
1721385806.6510942;65;10.0;160
1721385806.6510942;66;10.0;173
1721385806.6510942;67;10.0;202
1721385806.6510942;68;10.0;200
1721385806.6510942;69;10.0;179
1721385806.6510942;70;10.0;159
1721385806.6510942;71;10.0;175
1721385806.6510942;72;10.0;202
1721385806.6510942;73;10.0;202
1721385806.6510942;74;10.0;176
1721385806.6510942;75;10.0;159
1721385806.6510942;76;10.0;180
1721385806.6510942;77;10.0;204
1721385806.6510942;78;10.0;200
1721385806.6510942;79;10.0;172
1721385806.6510942;80;10.0;159
1721385806.6510942;81;10.0;185
1721385806.6510942;82;10.0;205
1721385806.6510942;83;10.0;198
1721385806.6510942;84;10.0;168
1721385806.6510942;85;10.0;161
1721385806.6510942;86;10.0;185
1721385806.6510942;87;10.0;206
1721385806.6510942;88;10.0;193
1721385806.6510942;89;10.0;164
1721385806.6510942;90;10.0;162
1721385806.6510942;91;10.0;190
1721385806.6510942;92;10.0;207
1721385806.6510942;93;10.0;191
1721385806.6510942;94;10.0;163
1721385806.6510942;95;10.0;164
1721385806.6510942;96;10.0;191
1721385806.6510942;97;10.0;207
1721385806.6510942;98;10.0;188
1721385806.6510942;99;10.0;161
1721385809.0661483;1;12.648552168552959;203
1721385809.0661483;2;12.648552168552959;186
1721385809.0661483;3;12.648552168552959;159
1721385809.0661483;4;12.648552168552959;166
1721385809.0661483;5;12.648552168552959;193
1721385809.0661483;6;12.648552168552959;205
1721385809.0661483;7;12.648552168552959;179
1721385809.0661483;8;12.648552168552959;157
1721385809.0661483;9;12.648552168552959;175
1721385809.0661483;10;12.648552168552959;199
1721385809.0661483;11;12.648552168552959;203
1721385809.0661483;12;12.648552168552959;180
1721385809.0661483;13;12.648552168552959;157
1721385809.0661483;14;12.648552168552959;170
1721385809.0661483;15;12.648552168552959;199
1721385809.0661483;16;12.648552168552959;201
1721385809.0661483;17;12.648552168552959;175
1721385809.0661483;18;12.648552168552959;157
1721385809.0661483;19;12.648552168552959;174
1721385809.0661483;20;12.648552168552959;201
1721385809.0661483;21;12.648552168552959;200
1721385809.0661483;22;12.648552168552959;173
1721385809.0661483;23;12.648552168552959;157
1721385809.0661483;24;12.648552168552959;178
1721385809.0661483;25;12.648552168552959;202
1721385809.0661483;26;12.648552168552959;194
1721385809.0661483;27;12.648552168552959;166
1721385809.0661483;28;12.648552168552959;158
1721385809.0661483;29;12.648552168552959;183
1721385809.0661483;30;12.648552168552959;203
1721385809.0661483;31;12.648552168552959;194
1721385809.0661483;32;12.648552168552959;162
1721385809.0661483;33;12.648552168552959;159
1721385809.0661483;34;12.648552168552959;186
1721385809.0661483;35;12.648552168552959;204
1721385809.0661483;36;12.648552168552959;191
1721385809.0661483;37;12.648552168552959;163
1721385809.0661483;38;12.648552168552959;160
1721385809.0661483;39;12.648552168552959;187
1721385809.0661483;40;12.648552168552959;204
1721385809.0661483;41;12.648552168552959;188
1721385809.0661483;42;12.648552168552959;160
1721385809.0661483;43;12.648552168552959;162
1721385809.0661483;44;12.648552168552959;191
1721385809.0661483;45;12.648552168552959;204
1721385809.0661483;46;12.648552168552959;184
1721385809.0661483;47;12.648552168552959;158
1721385809.0661483;48;12.648552168552959;170
1721385809.0661483;49;12.648552168552959;199
1721385809.0661483;50;12.648552168552959;200
1721385809.0661483;51;12.648552168552959;175
1721385809.0661483;52;12.648552168552959;156
1721385809.0661483;53;12.648552168552959;176
1721385809.0661483;54;12.648552168552959;204
1721385809.0661483;55;12.648552168552959;172
1721385809.0661483;56;12.648552168552959;156
1721385809.0661483;57;12.648552168552959;194
1721385809.0661483;58;12.648552168552959;196
1721385809.0661483;59;12.648552168552959;165
1721385809.0661483;60;12.648552168552959;158
1721385809.0661483;61;12.648552168552959;183
1721385809.0661483;62;12.648552168552959;202
1721385809.0661483;63;12.648552168552959;190
1721385809.0661483;64;12.648552168552959;159
1721385809.0661483;65;12.648552168552959;159
1721385809.0661483;66;12.648552168552959;186
1721385809.0661483;67;12.648552168552959;203
1721385809.0661483;68;12.648552168552959;191
1721385809.0661483;69;12.648552168552959;164
1721385809.0661483;70;12.648552168552959;158
1721385809.0661483;71;12.648552168552959;182
1721385809.0661483;72;12.648552168552959;203
1721385809.0661483;73;12.648552168552959;189
1721385809.0661483;74;12.648552168552959;162
1721385809.0661483;75;12.648552168552959;159
1721385809.0661483;76;12.648552168552959;184
1721385809.0661483;77;12.648552168552959;203
1721385809.0661483;78;12.648552168552959;187
1721385809.0661483;79;12.648552168552959;160
1721385809.0661483;80;12.648552168552959;160
1721385809.0661483;81;12.648552168552959;188
1721385809.0661483;82;12.648552168552959;203
1721385809.0661483;83;12.648552168552959;185
1721385809.0661483;84;12.648552168552959;159
1721385809.0661483;85;12.648552168552959;163
1721385809.0661483;86;12.648552168552959;191
1721385809.0661483;87;12.648552168552959;203
1721385809.0661483;88;12.648552168552959;181
1721385809.0661483;89;12.648552168552959;157
1721385809.0661483;90;12.648552168552959;169
1721385809.0661483;91;12.648552168552959;195
1721385809.0661483;92;12.648552168552959;202
1721385809.0661483;93;12.648552168552959;176
1721385809.0661483;94;12.648552168552959;156
1721385809.0661483;95;12.648552168552959;169
1721385809.0661483;96;12.648552168552959;199
1721385809.0661483;97;12.648552168552959;199
1721385809.0661483;98;12.648552168552959;172
1721385809.0661483;99;12.648552168552959;155
1721385811.4873855;1;15.998587196060582;204
1721385811.4873855;2;15.998587196060582;170
1721385811.4873855;3;15.998587196060582;157
1721385811.4873855;4;15.998587196060582;180
1721385811.4873855;5;15.998587196060582;203
1721385811.4873855;6;15.998587196060582;196
1721385811.4873855;7;15.998587196060582;165
1721385811.4873855;8;15.998587196060582;157
